town,County,Dean04,Kerry04,Clinton08,Edwards08,Obama08,diebold,lat,long,TotPop,Medianage,PerCapitaInc.,MedianInc.,ClintonCampaignPresence,PopDensity,PcntHS.Grad,PcntColl.Grad,Tot.LaborF,Tot.Unemp
Milton,Strafford,0.284351145,0.385496183,0.450753187,0.222479722,0.27230591,1,43.41,70.99,4457,37.4,18092,44194,-1,159.4633274,81.7,9.2,2377,88
Monroe,Grafton,0.445652174,0.315217391,0.380952381,0.206349206,0.388888889,-1,44.26,72.06,855,43.9,19730,42411,-1,36.30573248,91.3,22.3,443,16
MontVernon,Hillsborough,0.258660508,0.406466513,0.355123675,0.164310954,0.409893993,-1,42.89,71.67,2380,38.5,30772,71250,-1,158.8785047,93.1,42.3,1337,38
Moultonborough,Carroll,0.274636511,0.424878837,0.31302521,0.174369748,0.43697479,1,43.75,71.4,4950,46.6,25733,45050,-1,52.19867131,92.5,30.2,2764,77
Nashua,Hillsborough,0.213364017,0.5078491,0.453941619,0.171590048,0.326458078,1,42.77,71.47,87157,35.8,25209,51969,1,2742.511013,86.6,31.5,49816,1936
Nelson,Cheshire,0.380208333,0.270833333,0.142241379,0.189655172,0.525862069,-1,42.99,72.13,654,38.7,31624,41250,-1,32.21674877,86.5,46,390,12
NewBoston,Hillsborough,0.338582677,0.351706037,0.334552102,0.146252285,0.440585009,-1,42.98,71.69,4993,36.2,26488,66020,-1,111.1531612,93.9,36,2916,75
NewCastle,Rocking,0.31300813,0.394308943,0.287539936,0.073482428,0.607028754,-1,43.07,70.72,1026,49.6,67695,83708,-1,1332.467532,96.9,61.5,528,15
NewDurham,Strafford,0.288235294,0.444117647,0.374551971,0.197132616,0.347670251,-1,43.44,71.17,2498,38.1,22139,52270,-1,53.94083351,90,24.9,1413,49
NewHampton,Belknap,0.315217391,0.35326087,0.369140625,0.1875,0.3515625,-1,43.61,71.65,2235,38.3,20336,47583,-1,51.88022284,85.8,28.3,1232,38
NewIpswich,Hillsborough,0.24796748,0.461382114,0.417797888,0.197586727,0.318250377,-1,42.75,71.85,5134,31.8,20210,53939,-1,153.5746336,86.1,22.1,2406,92
NewLondon,Merrima,0.410944206,0.332618026,0.277173913,0.110507246,0.519927536,-1,43.41,71.99,4455,47.3,37556,61520,-1,166.3554892,96.2,59.7,1936,67
Newbury,Merrimac,0.346733668,0.386934673,0.33032491,0.155234657,0.411552347,1,43.32,72.04,2067,42.1,29521,58026,-1,42.05493388,93.3,41.1,1186,27
Newfields,Rockingham,0.311953353,0.370262391,0.350993377,0.214128035,0.386313466,1,43.04,70.94,1593,36.5,28687,71375,-1,208.5078534,92.4,44.2,848,25
Newington,Rockingham,0.387323944,0.330985915,0.41509434,0.136792453,0.391509434,-1,43.1,70.83,810,42.6,30172,59464,-1,65.85365854,86.4,31.2,518,0
Newmarket,Rockingham,0.312667023,0.371993586,0.391268191,0.158419958,0.384615385,1,43.28,71.87,9521,32.6,22085,46058,-1,742.0888542,91.3,32.9,6100,170
Newport,Sullivan,0.362623762,0.356435644,0.401023891,0.174914676,0.360068259,-1,43.67,72.17,6528,37.1,16964,37442,-1,70.19354839,78,11.8,2989,98
